main_backbone,external_feature,adapter_type,model,n_seeds,mean_AUC,mean_AUPRC,mean_F1,mean_MCC
native,lm_only,none,ankh,5,0.7745857988165682,0.27822327560124294,0.29937262759707856,0.24244812500565724
native,lm_only,none,esm2,5,0.9387278106508875,0.7227739420897653,0.6704139755519066,0.645228236888503
native,lm_only,none,protbert,5,0.9075147928994083,0.5917820374326362,0.47208395235187295,0.4396718860108247
native,lm_only,none,prott5,5,0.9306508875739645,0.7293732149230173,0.5971462747778536,0.564446868348546
native,lm_pssm,none,ankh,5,0.9261538461538461,0.6055135648040824,0.4960734339995927,0.4613614914997496
native,lm_pssm,none,esm2,5,0.931360946745562,0.609259230788731,0.5071958856953257,0.469795365717092
native,lm_pssm,none,protbert,5,0.929112426035503,0.6065545129258627,0.49964253501550215,0.46559955687589394
native,lm_pssm,none,prott5,5,0.9284615384615383,0.6107501400032243,0.48953906940627867,0.45551153612623735
tuned_lm_only,lm_only,dora,ankh,5,0.7754437869822486,0.2801314310924754,0.2730219810165853,0.21663721241986605
tuned_lm_only,lm_only,dora,esm2,5,0.9352662721893491,0.673546554283535,0.6574660450992253,0.6266921588889304
tuned_lm_only,lm_only,dora,protbert,5,0.8903846153846153,0.506589032698509,0.43579168657429523,0.39544180617271196
tuned_lm_only,lm_only,dora,prott5,5,0.9030769230769231,0.5745519249121978,0.5336939340278576,0.4915486436470595
tuned_lm_only,lm_only,lora,ankh,5,0.7826415891800507,0.2857581717069852,0.29875235331901034,0.24783327203012723
tuned_lm_only,lm_only,lora,esm2,5,0.929940828402367,0.681599882695908,0.6520029015827948,0.6220791573197453
tuned_lm_only,lm_only,lora,protbert,5,0.8924852071005918,0.5172804671881577,0.454347899945558,0.41440944555747433
tuned_lm_only,lm_only,lora,prott5,5,0.9019230769230768,0.5881697109154176,0.522712626391171,0.48820739258684354
tuned_lm_only,lm_pssm,dora,ankh,5,0.928698224852071,0.6120213185390584,0.5482119363882954,0.5065266119567088
tuned_lm_only,lm_pssm,dora,esm2,5,0.9429585798816568,0.6421991727597081,0.5815867655902774,0.5437485117530726
tuned_lm_only,lm_pssm,dora,protbert,5,0.9307396449704142,0.6071069877596388,0.5489598533561381,0.5068564448887881
tuned_lm_only,lm_pssm,dora,prott5,5,0.9339349112426035,0.6350645208239969,0.5321756256275778,0.5152098184272115
tuned_lm_only,lm_pssm,lora,ankh,5,0.927958579881657,0.6120374870570828,0.5431271906255836,0.5002791805956657
tuned_lm_only,lm_pssm,lora,esm2,5,0.9393491124260356,0.6411475017489789,0.5285329277400903,0.4879314815943999
tuned_lm_only,lm_pssm,lora,protbert,5,0.9320710059171597,0.6078495510328255,0.5216145181226359,0.48835079896201317
tuned_lm_only,lm_pssm,lora,prott5,5,0.9343786982248522,0.638480989147521,0.5573070687644875,0.5137337154459111
tuned_lm_pssm,lm_only,dora,ankh,5,0.7925739644970414,0.3158263919713464,0.33450054967455267,0.28469027489086624
tuned_lm_pssm,lm_only,dora,esm2,5,0.9048816568047338,0.6830478111113293,0.6032329729890706,0.5778892389699077
tuned_lm_pssm,lm_only,dora,protbert,5,0.8934911242603552,0.5144751781717847,0.46265223288553087,0.4224417707025154
tuned_lm_pssm,lm_only,dora,prott5,5,0.8875443786982249,0.5313100452532628,0.5439271830166005,0.49924742943526973
tuned_lm_pssm,lm_only,lora,ankh,5,0.7865976331360947,0.29224655512041864,0.2944114803510834,0.22728151207172242
tuned_lm_pssm,lm_only,lora,esm2,5,0.909585798816568,0.6669651952722775,0.5811776615186155,0.5462597436324846
tuned_lm_pssm,lm_only,lora,protbert,5,0.8863609467455621,0.49213172924345605,0.44594667296263113,0.407949329398898
tuned_lm_pssm,lm_only,lora,prott5,5,0.8849408284023669,0.5410801076269973,0.5517099069512863,0.5097905501033091
tuned_lm_pssm,lm_pssm,dora,ankh,5,0.9279881656804733,0.6121004831316191,0.5431271906255836,0.5002791805956657
tuned_lm_pssm,lm_pssm,dora,esm2,5,0.9501479289940828,0.7015591104601415,0.6002760268611214,0.5699214869148901
tuned_lm_pssm,lm_pssm,dora,protbert,5,0.9302958579881656,0.6030916102028758,0.5521966165929013,0.5115581315086073
tuned_lm_pssm,lm_pssm,dora,prott5,5,0.9330769230769231,0.6315753684262984,0.5732166505221533,0.5306906415743419
tuned_lm_pssm,lm_pssm,lora,ankh,5,0.928698224852071,0.6120916710189948,0.5482119363882954,0.5065266119567088
tuned_lm_pssm,lm_pssm,lora,esm2,5,0.9491715976331362,0.6887247013513955,0.6218494399981488,0.5885039708720349
tuned_lm_pssm,lm_pssm,lora,protbert,5,0.9302071005917159,0.6040324434850973,0.5556154200117047,0.517832285231688
tuned_lm_pssm,lm_pssm,lora,prott5,5,0.9334319526627219,0.6290407259060695,0.562913010806749,0.5200508168674782
