group_id,strategy,adapter_type,adapter_variant,external_variant,model,n_seeds,AUC_mean,AUC_std,AUPRC_mean,AUPRC_std,ACC_mean,ACC_std,F1_mean,F1_std,MCC_mean,MCC_std
G01,S1,none,native,lm_only,ankh,5,0.7745857988165682,0.023477668929058806,0.27822327560124294,0.030960202892725844,0.7006993006993006,0.07150670227224737,0.29937262759707856,0.03195393182003488,0.24244812500565724,0.03226182999871671
G01,S1,none,native,lm_only,esm2,5,0.9387278106508875,0.004046229821841071,0.7227739420897653,0.018452027480696322,0.927972027972028,0.039285515818708046,0.6704139755519066,0.08251637191803106,0.645228236888503,0.07860187016160697
G01,S1,none,native,lm_only,protbert,5,0.9075147928994083,0.007154259706822401,0.5917820374326362,0.04716255069304985,0.851048951048951,0.0423409104985192,0.47208395235187295,0.036125195551440004,0.4396718860108247,0.030889992684945734
G01,S1,none,native,lm_only,prott5,5,0.9306508875739645,0.005406516355563243,0.7293732149230173,0.01767080691020383,0.9195804195804197,0.02616543627114645,0.5971462747778536,0.05609649906800856,0.564446868348546,0.0649061728930324
G02,S1,none,native,lm_pssm,ankh,5,0.9261538461538461,0.008174144485687623,0.6055135648040824,0.020109006474160435,0.9020979020979022,0.01782873955801678,0.4960734339995927,0.03915440130525102,0.4613614914997496,0.026450801930830263
G02,S1,none,native,lm_pssm,esm2,5,0.931360946745562,0.004752182959825139,0.609259230788731,0.019721855588970015,0.913986013986014,0.008449682499017248,0.5071958856953257,0.057328823301658116,0.469795365717092,0.04817836125927237
G02,S1,none,native,lm_pssm,protbert,5,0.929112426035503,0.007724330250993006,0.6065545129258627,0.0249529998833554,0.9034965034965037,0.017496497906569,0.49964253501550215,0.04095701185973904,0.46559955687589394,0.028607987135315493
G02,S1,none,native,lm_pssm,prott5,5,0.9284615384615383,0.008051252093370325,0.6107501400032243,0.022644301262698195,0.9,0.015095827374071962,0.48953906940627867,0.05790021962533193,0.45551153612623735,0.04354110706921478
G03,S2,lora,lm_only,lm_only,ankh,5,0.7826415891800507,0.0440968824408739,0.2857581717069852,0.07255434410894882,0.6368881118881119,0.0581818602070854,0.29875235331901034,0.05747134154234475,0.24783327203012723,0.07345469933744683
G03,S2,lora,lm_only,lm_only,esm2,5,0.929940828402367,0.008976547839791144,0.681599882695908,0.04582705940105922,0.9293706293706295,0.013703439120465314,0.6520029015827948,0.03213152342912534,0.6220791573197453,0.03140950260112201
