adapter_type,model,variant,n_seeds,AUC_mean,AUC_std,AUPRC_mean,AUPRC_std,ACC_mean,ACC_std,F1_mean,F1_std,MCC_mean,MCC_std,Threshold_mean,Threshold_std
dora,ankh,lm_only,5,0.7754437869822486,0.02708013878988919,0.2801314310924754,0.031810619810969935,0.6405594405594405,0.1668590670641805,0.2730219810165853,0.04069137070274785,0.21663721241986605,0.04705187310918011,0.18,0.06782329983125268
dora,ankh,lm_pssm,5,0.9279881656804733,0.00601647423797557,0.6121004831316191,0.036379299694671845,0.9146853146853147,0.014601827285189635,0.5431271906255836,0.04723964626706947,0.5002791805956657,0.054978057720137107,0.4699999999999999,0.11661903789690603
dora,esm2,lm_only,5,0.9352662721893491,0.011466396101541097,0.673546554283535,0.06168115635217406,0.93006993006993,0.02177959650684954,0.6574660450992253,0.06699079129883817,0.6266921588889304,0.06996436559215191,0.39,0.13928388277184117
dora,esm2,lm_pssm,5,0.9501479289940828,0.010921929331268121,0.7015591104601415,0.03902691866974652,0.9244755244755245,0.005233087254229254,0.6002760268611214,0.06046161936358685,0.5699214869148901,0.055563953639774365,0.43999999999999995,0.10677078252031315
dora,protbert,lm_only,5,0.8903846153846153,0.010310130894496798,0.506589032698509,0.039891324353444016,0.8342657342657344,0.02668361402564882,0.43579168657429523,0.01918617262882844,0.39544180617271196,0.020863244365906884,0.24,0.08602325267042624
dora,protbert,lm_pssm,5,0.9302958579881656,0.006010651936095908,0.6030916102028758,0.02617479124191565,0.9055944055944056,0.016841391019289904,0.5521966165929013,0.018939640185633082,0.5115581315086073,0.018243572634384735,0.33999999999999997,0.09695359714832653
dora,prott5,lm_only,5,0.9030769230769231,0.009133534301070003,0.5745519249121978,0.061034590005864364,0.893006993006993,0.02428497252333616,0.5336939340278576,0.039392739586657066,0.4915486436470595,0.039332722374849194,0.31999999999999995,0.1435270009440732
dora,prott5,lm_pssm,5,0.9330769230769231,0.0019255787094998107,0.6315753684262984,0.03110259691742194,0.918881118881119,0.006015612074854981,0.5732166505221533,0.01775603660352834,0.5306906415743419,0.01968638112001863,0.43999999999999995,0.0734846922834953
lora,ankh,lm_only,5,0.7826415891800507,0.0440968824408739,0.2857581717069852,0.07255434410894882,0.6368881118881119,0.0581818602070854,0.29875235331901034,0.05747134154234475,0.24783327203012723,0.07345469933744683,0.16,0.020000000000000007
lora,ankh,lm_pssm,5,0.928698224852071,0.006237623858670985,0.6120916710189948,0.036411459273930545,0.9181818181818182,0.010036853212872286,0.5482119363882954,0.040470665216019705,0.5065266119567088,0.046477661082408576,0.48,0.1077032961426901
lora,esm2,lm_only,5,0.929940828402367,0.008976547839791144,0.681599882695908,0.04582705940105922,0.9293706293706295,0.013703439120465314,0.6520029015827948,0.03213152342912534,0.6220791573197453,0.03140950260112201,0.41999999999999993,0.132664991614216
lora,esm2,lm_pssm,5,0.9491715976331362,0.0059911059974883975,0.6887247013513955,0.021210330987003225,0.9251748251748252,0.0047428881000875995,0.6218494399981488,0.025388703751881056,0.5885039708720349,0.025009997088050222,0.41,0.1067707825203131
lora,protbert,lm_only,5,0.8924852071005918,0.015161790994659918,0.5172804671881577,0.045804920722653485,0.8468531468531468,0.02159922407200069,0.454347899945558,0.008609073946425008,0.41440944555747433,0.01315311793123543,0.27999999999999997,0.05099019513592784
lora,protbert,lm_pssm,5,0.9302071005917159,0.005875146707302132,0.6040324434850973,0.02610030803759213,0.9,0.017072105756270887,0.5556154200117047,0.01765071594810997,0.517832285231688,0.015771098017029226,0.29999999999999993,0.08366600265340751
lora,prott5,lm_only,5,0.9019230769230768,0.012061793096436181,0.5881697109154176,0.06493650898550965,0.8755244755244755,0.031085469609640353,0.522712626391171,0.04640346117072076,0.48820739258684354,0.04395000883130332,0.22999999999999998,0.11224972160321821
lora,prott5,lm_pssm,5,0.9334319526627219,0.002190148582641689,0.6290407259060695,0.024213623645913385,0.9132867132867133,0.008678093458734876,0.562913010806749,0.02033920242613491,0.5200508168674782,0.021864172439472886,0.41,0.0734846922834953
